[my_website] Crawled: 12 URLs in 0.76 seconds
[my_website] queue size: 0
         810738 function calls (790128 primitive calls) in 3.783 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       96    0.001    0.000    0.001    0.000 message.py:462(get)
       12    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      504    0.001    0.000    0.120    0.000 __init__.py:1018(<genexpr>)
      490    0.001    0.000    0.002    0.000 frozen importlib._bootstrap_external:632(_validate_timestamp_pyc)
      105    0.001    0.000    0.010    0.000 __init__.py:903(<genexpr>)
      901    0.001    0.000    0.001    0.000 compat.py:231(formatargandannotation)
      483    0.001    0.000    0.071    0.000 __init__.py:629(entry_points)
       68    0.001    0.000    0.009    0.000 langhelpers.py:2129(inject_docstring_text)
     1194    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
       67    0.001    0.000    0.001    0.000 frozen zipimport:64(__init__)
     11/0    0.001    0.000    0.000          {method 'pop' of 'dict' objects}
      419    0.001    0.000    0.001    0.000 {method 'fromkeys' of 'type' objects}
      231    0.001    0.000    0.004    0.000 ro.py:334(_nonempty_bases_ignoring)
      483    0.001    0.000    0.001    0.000 __init__.py:100(section_pairs)
   158/48    0.001    0.000    0.005    0.000 declarations.py:406(implementedBy)
       12    0.000    0.000    0.747    0.062 scraper.py:93(crawl_worker)
    90/89    0.000    0.000    0.777    0.009 events.py:78(_run)
       82    0.000    0.000    0.001    0.000 langhelpers.py:316(_update_argspec_defaults_into_env)
        1    0.000    0.000    0.000    0.000 errorcodes.py:1(<module>)
      489    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       78    0.000    0.000    0.001    0.000 utils.py:74(is_punctuation)
       24    0.000    0.000    0.004    0.000 feedparser.py:219(_parsegen)
       67    0.000    0.000    0.001    0.000 frozen importlib._bootstrap_external:1508(__init__)
       14    0.000    0.000    0.001    0.000 response.py:599(release_conn)
       61    0.000    0.000    0.001    0.000 cookiejar.py:1227(vals_sorted_by_key)
     1197    0.000    0.000    0.000    0.000 __init__.py:190(_for)
       84    0.000    0.000    0.003    0.000 sessions.py:61(merge_setting)
      118    0.000    0.000    0.002    0.000 typing.py:267(_remove_dups_flatten)
     4320    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      331    0.000    0.000    0.001    0.000 sre_parse.py:356(_escape)
      129    0.000    0.000    0.001    0.000 typing.py:253(_deduplicate)
       12    0.000    0.000    0.004    0.000 connection.py:319(request)
      698    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
       12    0.000    0.000    0.286    0.024 client.py:311(begin)
     1145    0.000    0.000    0.001    0.000 typing.py:1031(__eq__)
      172    0.000    0.000    0.001    0.000 parse.py:516(urlunsplit)
     3659    0.000    0.000    0.000    0.000 {built-in function ord}
      138    0.000    0.000    0.000    0.000 {built-in function posix.getcwd}
        1    0.000    0.000    0.175    0.175 monkey.py:951(_find_module_refs)
      264    0.000    0.000    0.000    0.000 graphviz.py:96(agnode)
      483    0.000    0.000    0.003    0.000 pathlib.py:631(__fspath__)
       52    0.000    0.000    0.013    0.000 base.py:268(_generative)
      561    0.000    0.000    0.000    0.000 backends.py:333(<dictcomp>)
     1283    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      543    0.000    0.000    0.000    0.000 graphviz.py:213(agraphof)
    54/53    0.000    0.000    1.329    0.025 base_events.py:1832(_run_once)
      141    0.000    0.000    0.004    0.000 typing.py:722(__init__)
       47    0.000    0.000    0.004    0.000 typing_extensions.py:534(__new__)
      159    0.000    0.000    0.001    0.000 langhelpers.py:1976(__init_subclass__)
      151    0.000    0.000    0.017    0.000 frozen importlib._bootstrap_external:1108(_cache_bytecode)
        1    0.000    0.000    0.001    0.001 __init__.py:242(_fetch_names)
     2184    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      396    0.000    0.000    0.001    0.000 enum.py:684(__new__)
        1    0.000    0.000    0.104    0.104 compiler.py:1(<module>)
       21    0.000    0.000    0.135    0.006 __init__.py:999(entry_points)
       69    0.000    0.000    0.001    0.000 functions.py:1514(__init_subclass__)
